2025-11-24 14:48:28.486 [tick=4219671] [pid=3292] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3292 | fire start
2025-11-24 14:48:28.499 [tick=4219687] [pid=3292] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3292 | fire sent
2025-11-24 14:48:28.720 [tick=4219906] [pid=5228] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:28.721 [tick=4219906] [pid=5228] [INFO] [WorkerHost] pid=5228 | start
2025-11-24 14:48:28.983 [tick=4220171] [pid=5228] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5228 | fire start
2025-11-24 14:48:28.999 [tick=4220187] [pid=5228] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5228 | fire sent
2025-11-24 14:48:29.220 [tick=4220406] [pid=20968] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:29.220 [tick=4220406] [pid=20968] [INFO] [WorkerHost] pid=20968 | start
2025-11-24 14:48:29.483 [tick=4220671] [pid=20968] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=20968 | fire start
2025-11-24 14:48:29.496 [tick=4220687] [pid=20968] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=20968 | fire sent
2025-11-24 14:48:29.721 [tick=4220906] [pid=6896] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:29.721 [tick=4220906] [pid=6896] [INFO] [WorkerHost] pid=6896 | start
2025-11-24 14:48:29.982 [tick=4221171] [pid=6896] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=6896 | fire start
2025-11-24 14:48:29.998 [tick=4221187] [pid=6896] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=6896 | fire sent
2025-11-24 14:48:30.214 [tick=4221406] [pid=8260] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:30.215 [tick=4221406] [pid=8260] [INFO] [WorkerHost] pid=8260 | start
2025-11-24 14:48:30.480 [tick=4221671] [pid=8260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8260 | fire start
2025-11-24 14:48:30.499 [tick=4221687] [pid=8260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8260 | fire sent
2025-11-24 14:48:30.715 [tick=4221906] [pid=3088] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:30.715 [tick=4221906] [pid=3088] [INFO] [WorkerHost] pid=3088 | start
2025-11-24 14:48:30.981 [tick=4222171] [pid=3088] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3088 | fire start
2025-11-24 14:48:30.997 [tick=4222187] [pid=3088] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=3088 | fire sent
2025-11-24 14:48:31.214 [tick=4222390] [pid=8116] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:31.215 [tick=4222406] [pid=8116] [INFO] [WorkerHost] pid=8116 | start
2025-11-24 14:48:31.495 [tick=4222687] [pid=8116] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8116 | fire start
2025-11-24 14:48:31.511 [tick=4222703] [pid=8116] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8116 | fire sent
2025-11-24 14:48:31.712 [tick=4222890] [pid=11864] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:31.712 [tick=4222890] [pid=11864] [INFO] [WorkerHost] pid=11864 | start
2025-11-24 14:48:31.980 [tick=4223171] [pid=11864] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11864 | fire start
2025-11-24 14:48:31.997 [tick=4223187] [pid=11864] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11864 | fire sent
2025-11-24 14:48:32.232 [tick=4223421] [pid=4068] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:32.232 [tick=4223421] [pid=4068] [INFO] [WorkerHost] pid=4068 | start
2025-11-24 14:48:32.495 [tick=4223687] [pid=4068] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4068 | fire start
2025-11-24 14:48:32.511 [tick=4223703] [pid=4068] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4068 | fire sent
